Tanggal,Kode Barang,Nama Barang,Harga Barang,Jumlah Barang,Total Harga
2023-01-10,BRG001,Minyak Goreng,15000,2,30000
2023-01-15,BRG002,Beras,50000,1,50000
2023-02-08,BRG003,Gula Pasir,12000,3,36000
2023-02-20,BRG004,Mie Instan,3000,5,15000
2023-03-05,BRG005,Susu,10000,4,40000
2023-03-25,BRG006,Telur,25000,2,50000
2023-04-10,BRG007,Kopi,15000,3,45000
2023-04-15,BRG008,Teh,5000,6,30000
2023-05-01,BRG001,Minyak Goreng,15000,4,60000
2023-05-18,BRG003,Gula Pasir,12000,5,60000
2023-06-05,BRG009,Roti,2000,10,20000
2023-06-15,BRG010,Gula Merah,12000,2,24000
2023-07-12,BRG002,Beras,50000,3,150000
2023-07-20,BRG011,Kecap,8000,4,32000
2023-08-01,BRG005,Susu,10000,2,20000
2023-08-15,BRG012,Keju,40000,1,40000
2023-09-05,BRG006,Telur,25000,3,75000
2023-09-20,BRG004,Mie Instan,3000,15,45000
2023-10-10,BRG007,Kopi,15000,4,60000
2023-10-25,BRG008,Teh,5000,10,50000
2023-11-01,BRG003,Gula Pasir,12000,8,96000
2023-11-20,BRG001,Minyak Goreng,15000,5,75000
2023-12-05,BRG010,Gula Merah,12000,3,36000
2023-12-20,BRG009,Roti,2000,20,40000
2024-01-05,BRG001,Minyak Goreng,15000,2,30000
2024-01-12,BRG002,Beras,50000,1,50000
2024-02-08,BRG003,Gula Pasir,12000,5,60000
2024-02-20,BRG001,Minyak Goreng,15000,3,45000
2024-03-15,BRG004,Mie Instan,3000,10,30000
2024-03-25,BRG005,Susu,10000,2,20000
2024-04-10,BRG006,Telur,25000,1,25000
2024-04-20,BRG001,Minyak Goreng,15000,4,60000
2024-05-01,BRG007,Kopi,15000,2,30000
2024-05-18,BRG008,Teh,5000,6,30000
2024-06-05,BRG009,Roti,2000,10,20000
2024-06-15,BRG010,Gula Merah,12000,3,36000
2024-07-10,BRG002,Beras,50000,2,100000
2024-07-25,BRG001,Minyak Goreng,15000,1,15000
2024-08-08,BRG004,Mie Instan,3000,20,60000
2024-08-22,BRG011,Kecap,8000,3,24000
2024-09-10,BRG006,Telur,25000,2,50000
2024-09-20,BRG012,Keju,40000,1,40000
2024-10-05,BRG003,Gula Pasir,12000,4,48000
2024-10-25,BRG007,Kopi,15000,5,75000
2024-11-10,BRG002,Beras,50000,3,150000
2024-11-15,BRG005,Susu,10000,5,50000
2024-12-01,BRG001,Minyak Goreng,15000,6,90000
2024-12-20,BRG009,Roti,2000,15,30000
2024-12-05,BRG001,Minyak Goreng,15000,1,15000
2024-12-05,BRG003,Gula Pasir,12000,5,60000
2024-12-05,BRG004,Mie Instan,3000,5,15000
2024-12-05,BRG002,Beras,50000,2,100000
2024-12-05,BRG001,Minyak Goreng,15000,6,90000
2024-12-05,BRG003,Gula Pasir,12000,2,24000
2024-12-05,BRG001,Minyak Goreng,15000,3,45000
